Sample_ID,extraction_ID,primer,PCR_replicate,alternative_ID,collection_year,collection_month,collection_day,location3,sample_type
e02801_1_18S,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02802_1_18S,e02802,18S,1,162-35,2022,12,2,Haul 4,sample
e02803_1_18S,e02803,18S,1,162-31,2022,12,2,Haul 4,sample
e02804_1_18S,e02804,18S,1,162-17,2022,12,7,Haul 2,sample
e02805_1_18S,e02805,18S,1,162-188,2022,12,7,Haul 186,sample
e02806_1_18S,e02806,18S,1,162-30,2022,12,7,Haul 3,sample
e02807_1_18S,e02807,18S,1,162-3,2022,12,8,Haul 1,sample
e02808_1_18S,e02808,18S,1,162-20,2022,12,8,Haul 2,sample
e02809_1_18S,e02809,18S,1,162-29,2022,12,8,Haul 3,sample
e02810_1_18S,e02810,18S,1,162-18,2022,12,8,Haul 2,sample
e02811_1_18S,e02811,18S,1,162-4,2022,12,8,Haul 1,sample
e02812_1_18S,e02812,18S,1,162-16,2022,12,14,Haul 2,sample
e02813_1_18S,e02813,18S,1,162-26,2022,12,14,Haul 3,sample
e02814_1_18S,e02814,18S,1,162-53,2022,12,14,Haul 21,sample
e02815_1_18S,e02815,18S,1,162-2,2022,12,14,Haul 2,sample
e02816_1_18S,e02816,18S,1,162-185,2022,12,14,Haul 151,sample
e02817_1_18S,e02817,18S,1,162-8,2022,12,16,Haul 1,sample
e02818_1_18S,e02818,18S,1,162-15,2022,12,16,Haul 2,sample
e02819_1_18S,e02819,18S,1,162-9,2022,12,16,Haul 1,sample
e02820_1_18S,e02820,18S,1,162-55,2022,12,16,Haul 23,sample
e02821_1_18S,e02821,18S,1,162-1,2022,12,16,Haul 1,sample
e02822_1_18S,e02822,18S,1,162-199,2022,12,16,Haul 127,sample
e02823_1_18S,e02823,18S,1,94-65,2022,12,NA,NA,sample
e02824_1_18S,e02824,18S,1,94-75,2022,12,NA,NA,sample
e02825_1_18S,e02825,18S,1,94-77,2022,12,NA,NA,sample
e02826_1_18S,e02826,18S,1,NC1,NA,NA,NA,NA,extraction_blank
e02827_1_18S,e02827,18S,1,NC2,NA,NA,NA,NA,extraction_blank
e02828_1_18S,e02828,18S,1,NC3,NA,NA,NA,NA,extraction_blank
e02829_1_18S,e02829,18S,1,162-199,2022,12,16,Haul 127,sample
e02830_1_18S,e02830,18S,1,162-185,2022,12,14,Haul 151,sample
e02831_1_18S,e02831,18S,1,162-185,2022,12,14,Haul 151,sample
e02832_1_18S,e02832,18S,1,94-75,2022,12,NA,NA,sample
e02833_1_18S,e02833,18S,1,94-75,2022,12,NA,NA,sample
