"","ASV","taxon","taxonomic_level"
"1","OTU_007","Agaricomycetes","class"
"2","OTU_008","Agaricales","order"
"3","OTU_011","Agaricomycetes","class"
"4","OTU_013","Gastropoda","class"
"5","OTU_014","Schizoporaceae","family"
"6","OTU_016","Amylocorticium cebennense","species"
"7","OTU_018","Agaricomycetes","class"
"8","OTU_029","Agaricomycetes","class"
"9","OTU_031","Agaricomycetes","class"
"10","OTU_032","Chaetoceros","genus"
"11","OTU_034","Auranticordis quadriverberis","species"
"12","OTU_036","Actinopteri","class"
"13","OTU_037","Cercozoa","phylum"
"14","OTU_038","Esquamula lacrimiformis","species"
"15","OTU_040","Dichomitus squalens","species"
"16","OTU_043","Mammalia","class"
"17","OTU_044","Thaumatomonadida","order"
"18","OTU_045","Ebria tripartita","species"
"19","OTU_046","Mataza hastifera","species"
"20","OTU_048","Ascomycota","phylum"
"21","OTU_050","Coscinodiscophyceae","class"
"22","OTU_051","Agaricomycetes","class"
"23","OTU_053","Tremellales","order"
"24","OTU_055","Cyranomonas australis","species"
"25","OTU_061","Ascomycota/Basidiomycota","phylum"
"26","OTU_064","Triparmaceae","family"
"27","OTU_076","Basidiomycota","phylum"
"28","OTU_128","Polychaeta","class"
"29","OTU_130","Curvibasidium","genus"
"30","OTU_131","Cyclotrichium cyclokaryon","species"
"31","OTU_132","Basidiomycota","phylum"
"32","OTU_133","Pleurocybella porrigens","species"
"33","OTU_156","Strombidium biarmatum","species"
"34","OTU_157","Mamiellaceae","family"
"35","OTU_158","Ascomycota","phylum"
"36","OTU_173","Decapoda","order"
"37","OTU_175","Tintinnidium cf. primitivum","species"
