sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_merged	reads_tabled	reads_chimera_checked
e02801-1-18S	e02801-1-18S	1	e02801-1-18S_S1_L001_R1_001.fastq.gz	e02801-1-18S_S1_L001_R2_001.fastq.gz	22003	22003	21560	21560	21510	21510	21305	21305	21247
e02801-2-18S	e02801-2-18S	1	e02801-2-18S_S38_L001_R1_001.fastq.gz	e02801-2-18S_S38_L001_R2_001.fastq.gz	23273	23273	22814	22814	20672	20672	20450	20450	20447
e02802-1-18S	e02802-1-18S	1	e02802-1-18S_S2_L001_R1_001.fastq.gz	e02802-1-18S_S2_L001_R2_001.fastq.gz	28366	28366	27609	27609	27544	27544	27276	27276	27269
e02802-2-18S	e02802-2-18S	1	e02802-2-18S_S39_L001_R1_001.fastq.gz	e02802-2-18S_S39_L001_R2_001.fastq.gz	27500	27500	26797	26797	26751	26751	26573	26573	26560
e02803-1-18S	e02803-1-18S	1	e02803-1-18S_S3_L001_R1_001.fastq.gz	e02803-1-18S_S3_L001_R2_001.fastq.gz	32009	32009	31329	31329	31246	31246	30796	30796	30672
e02803-2-18S	e02803-2-18S	1	e02803-2-18S_S40_L001_R1_001.fastq.gz	e02803-2-18S_S40_L001_R2_001.fastq.gz	20788	20788	20318	20318	19092	19092	18732	18732	18599
e02804-1-18S	e02804-1-18S	1	e02804-1-18S_S4_L001_R1_001.fastq.gz	e02804-1-18S_S4_L001_R2_001.fastq.gz	23084	23084	22627	22627	22580	22580	22154	22154	22149
e02804-2-18S	e02804-2-18S	1	e02804-2-18S_S41_L001_R1_001.fastq.gz	e02804-2-18S_S41_L001_R2_001.fastq.gz	23014	23014	22516	22516	22337	22337	21714	21714	21711
e02805-1-18S	e02805-1-18S	1	e02805-1-18S_S5_L001_R1_001.fastq.gz	e02805-1-18S_S5_L001_R2_001.fastq.gz	27750	27750	27170	27170	27118	27118	27030	27030	27030
e02805-2-18S	e02805-2-18S	1	e02805-2-18S_S42_L001_R1_001.fastq.gz	e02805-2-18S_S42_L001_R2_001.fastq.gz	32294	32294	31635	31635	31559	31559	31476	31476	31476
e02806-1-18S	e02806-1-18S	1	e02806-1-18S_S6_L001_R1_001.fastq.gz	e02806-1-18S_S6_L001_R2_001.fastq.gz	33218	33218	32549	32549	32476	32476	32356	32356	32317
e02806-2-18S	e02806-2-18S	1	e02806-2-18S_S43_L001_R1_001.fastq.gz	e02806-2-18S_S43_L001_R2_001.fastq.gz	30285	30285	29658	29658	29572	29572	29372	29372	29365
e02807-1-18S	e02807-1-18S	1	e02807-1-18S_S7_L001_R1_001.fastq.gz	e02807-1-18S_S7_L001_R2_001.fastq.gz	46993	46993	46117	46117	46036	46036	45671	45671	45547
e02807-2-18S	e02807-2-18S	1	e02807-2-18S_S44_L001_R1_001.fastq.gz	e02807-2-18S_S44_L001_R2_001.fastq.gz	29950	29950	27755	27755	27634	27634	27207	27207	27171
e02808-1-18S	e02808-1-18S	1	e02808-1-18S_S8_L001_R1_001.fastq.gz	e02808-1-18S_S8_L001_R2_001.fastq.gz	3084	3084	667	667	641	641	467	467	467
e02808-2-18S	e02808-2-18S	1	e02808-2-18S_S45_L001_R1_001.fastq.gz	e02808-2-18S_S45_L001_R2_001.fastq.gz	27348	27348	26832	26832	26420	26420	25975	25975	25947
