"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","ASV1",80720,"Gadus macrocephalus","species",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","Gadus macrocephalus"
"2","ASV2",41871,"Acipenser fulvescens","species",NA,"Metazoa","Chordata","Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","Acipenser fulvescens"
"3","ASV3",72067,"Sebastes crameri","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes crameri"
"4","ASV4",8017,"Oncorhynchus gorbuscha","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha"
"5","ASV5",84620,"Ammodytes","genus",NA,"Metazoa","Chordata","Actinopteri","Uranoscopiformes","Ammodytidae","Ammodytes",""
"6","ASV6",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"7","ASV7",30724,"Clupea pallasii","species",NA,"Metazoa","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea pallasii"
"8","ASV8",283367,"Pholis laeta","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis laeta"
"9","ASV9",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"10","ASV10",1042646,"Gadus chalcogrammus","species",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","Gadus chalcogrammus"
"11","ASV11",274741,"Hexagrammos decagrammus","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos","Hexagrammos decagrammus"
"12","ASV12",34820,"Sebastes","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",""
"13","ASV13",320622,"Anoplarchus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Stichaeidae","Anoplarchus",""
"14","ASV14",8257,"Limanda","genus",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Limanda",""
"15","ASV15",433390,"Hemilepidotus hemilepidotus","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Hemilepidotus","Hemilepidotus hemilepidotus"
"16","ASV16",209541,"Trichodon trichodon","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Trichodontidae","Trichodon","Trichodon trichodon"
"17","ASV17",283031,"Xiphister mucosus","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Stichaeidae","Xiphister","Xiphister mucosus"
"18","ASV18",8095,"Myoxocephalus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus",""
"19","ASV19",30960,"Mallotus villosus","species",NA,"Metazoa","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus"
"20","ASV20",428033,"Atheresthes","genus",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Atheresthes",""
"21","ASV21",80720,"Gadus macrocephalus","species",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus","Gadus macrocephalus"
