sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_merged	reads_tabled	reads_chimera_checked
e02801-1-MiFish	e02801-1-MiFish	1	e02801-1-MiFish_S75_L001_R1_001.fastq.gz	e02801-1-MiFish_S75_L001_R2_001.fastq.gz	49198	49198	48318	48318	20273	20273	17661	17661	17359
e02801-2-MiFish	e02801-2-MiFish	1	e02801-2-MiFish_S112_L001_R1_001.fastq.gz	e02801-2-MiFish_S112_L001_R2_001.fastq.gz	42273	42273	41372	41372	16204	16204	14072	14072	13871
e02802-1-MiFish	e02802-1-MiFish	1	e02802-1-MiFish_S76_L001_R1_001.fastq.gz	e02802-1-MiFish_S76_L001_R2_001.fastq.gz	48506	48506	47199	47199	20719	20719	18528	18528	18256
e02802-2-MiFish	e02802-2-MiFish	1	e02802-2-MiFish_S113_L001_R1_001.fastq.gz	e02802-2-MiFish_S113_L001_R2_001.fastq.gz	36665	36665	35812	35812	15163	15163	13502	13502	13100
e02803-1-MiFish	e02803-1-MiFish	1	e02803-1-MiFish_S77_L001_R1_001.fastq.gz	e02803-1-MiFish_S77_L001_R2_001.fastq.gz	43530	43530	42545	42545	14400	14400	13294	13294	13118
e02803-2-MiFish	e02803-2-MiFish	1	e02803-2-MiFish_S114_L001_R1_001.fastq.gz	e02803-2-MiFish_S114_L001_R2_001.fastq.gz	40556	40556	39785	39785	16768	16768	15220	15220	14216
e02804-1-MiFish	e02804-1-MiFish	1	e02804-1-MiFish_S78_L001_R1_001.fastq.gz	e02804-1-MiFish_S78_L001_R2_001.fastq.gz	54214	54214	53286	53286	20866	20866	17919	17919	17279
e02804-2-MiFish	e02804-2-MiFish	1	e02804-2-MiFish_S115_L001_R1_001.fastq.gz	e02804-2-MiFish_S115_L001_R2_001.fastq.gz	51237	51237	50263	50263	20031	20031	17536	17536	17286
e02805-1-MiFish	e02805-1-MiFish	1	e02805-1-MiFish_S79_L001_R1_001.fastq.gz	e02805-1-MiFish_S79_L001_R2_001.fastq.gz	55186	55186	54379	54379	33526	33526	32469	32469	31955
e02805-2-MiFish	e02805-2-MiFish	1	e02805-2-MiFish_S116_L001_R1_001.fastq.gz	e02805-2-MiFish_S116_L001_R2_001.fastq.gz	33011	33011	32436	32436	7686	7686	7244	7244	7244
e02806-1-MiFish	e02806-1-MiFish	1	e02806-1-MiFish_S80_L001_R1_001.fastq.gz	e02806-1-MiFish_S80_L001_R2_001.fastq.gz	48309	48309	47455	47455	19977	19977	17642	17642	17073
e02806-2-MiFish	e02806-2-MiFish	1	e02806-2-MiFish_S117_L001_R1_001.fastq.gz	e02806-2-MiFish_S117_L001_R2_001.fastq.gz	66104	66104	64833	64833	27416	27416	24521	24521	24091
e02807-1-MiFish	e02807-1-MiFish	1	e02807-1-MiFish_S81_L001_R1_001.fastq.gz	e02807-1-MiFish_S81_L001_R2_001.fastq.gz	49000	49000	48127	48127	17217	17217	16146	16146	16122
e02807-2-MiFish	e02807-2-MiFish	1	e02807-2-MiFish_S118_L001_R1_001.fastq.gz	e02807-2-MiFish_S118_L001_R2_001.fastq.gz	40776	40776	39030	39030	12884	12884	11794	11794	11649
e02808-1-MiFish	e02808-1-MiFish	1	e02808-1-MiFish_S82_L001_R1_001.fastq.gz	e02808-1-MiFish_S82_L001_R2_001.fastq.gz	15242	15242	12535	12535	462	462	171	171	171
e02808-2-MiFish	e02808-2-MiFish	1	e02808-2-MiFish_S119_L001_R1_001.fastq.gz	e02808-2-MiFish_S119_L001_R2_001.fastq.gz	23131	23131	22728	22728	344	344	44	44	44
e02809-1-MiFish	e02809-1-MiFish	1	e02809-1-MiFish_S83_L001_R1_001.fastq.gz	e02809-1-MiFish_S83_L001_R2_001.fastq.gz	35503	35503	34838	34838	17601	17601	15767	15767	14868
e02809-2-MiFish	e02809-2-MiFish	1	e02809-2-MiFish_S120_L001_R1_001.fastq.gz	e02809-2-MiFish_S120_L001_R2_001.fastq.gz	15392	15392	14992	14992	596	596	56	56	56
e02810-1-MiFish	e02810-1-MiFish	1	e02810-1-MiFish_S84_L001_R1_001.fastq.gz	e02810-1-MiFish_S84_L001_R2_001.fastq.gz	40709	40709	39947	39947	15413	15413	14138	14138	14011
e02810-2-MiFish	e02810-2-MiFish	1	e02810-2-MiFish_S121_L001_R1_001.fastq.gz	e02810-2-MiFish_S121_L001_R2_001.fastq.gz	39431	39431	38773	38773	14147	14147	13343	13343	13107
e02811-1-MiFish	e02811-1-MiFish	1	e02811-1-MiFish_S85_L001_R1_001.fastq.gz	e02811-1-MiFish_S85_L001_R2_001.fastq.gz	33120	33120	32473	32473	16705	16705	14854	14854	14548
e02811-2-MiFish	e02811-2-MiFish	1	e02811-2-MiFish_S122_L001_R1_001.fastq.gz	e02811-2-MiFish_S122_L001_R2_001.fastq.gz	47637	47637	46796	46796	19834	19834	16840	16840	16507
e02812-1-MiFish	e02812-1-MiFish	1	e02812-1-MiFish_S86_L001_R1_001.fastq.gz	e02812-1-MiFish_S86_L001_R2_001.fastq.gz	13751	13751	13409	13409	2458	2458	2204	2204	2204
e02812-2-MiFish	e02812-2-MiFish	1	e02812-2-MiFish_S123_L001_R1_001.fastq.gz	e02812-2-MiFish_S123_L001_R2_001.fastq.gz	16193	16193	15950	15950	1667	1667	1332	1332	1332
e02813-1-MiFish	e02813-1-MiFish	1	e02813-1-MiFish_S87_L001_R1_001.fastq.gz	e02813-1-MiFish_S87_L001_R2_001.fastq.gz	11119	11119	10947	10947	362	362	91	91	91
e02813-2-MiFish	e02813-2-MiFish	1	e02813-2-MiFish_S124_L001_R1_001.fastq.gz	e02813-2-MiFish_S124_L001_R2_001.fastq.gz	16872	16872	16364	16364	369	369	66	66	66
e02814-1-MiFish	e02814-1-MiFish	1	e02814-1-MiFish_S88_L001_R1_001.fastq.gz	e02814-1-MiFish_S88_L001_R2_001.fastq.gz	13587	13587	13347	13347	864	864	643	643	643
e02814-2-MiFish	e02814-2-MiFish	1	e02814-2-MiFish_S125_L001_R1_001.fastq.gz	e02814-2-MiFish_S125_L001_R2_001.fastq.gz	24464	24464	24056	24056	441	441	93	93	93
e02815-1-MiFish	e02815-1-MiFish	1	e02815-1-MiFish_S89_L001_R1_001.fastq.gz	e02815-1-MiFish_S89_L001_R2_001.fastq.gz	18322	18322	17355	17355	396	396	103	103	103
e02815-2-MiFish	e02815-2-MiFish	1	e02815-2-MiFish_S126_L001_R1_001.fastq.gz	e02815-2-MiFish_S126_L001_R2_001.fastq.gz	34338	34338	33697	33697	6606	6606	6115	6115	6115
e02816-1-MiFish	e02816-1-MiFish	1	e02816-1-MiFish_S90_L001_R1_001.fastq.gz	e02816-1-MiFish_S90_L001_R2_001.fastq.gz	10852	10852	10527	10527	505	505	102	102	102
e02816-2-MiFish	e02816-2-MiFish	1	e02816-2-MiFish_S127_L001_R1_001.fastq.gz	e02816-2-MiFish_S127_L001_R2_001.fastq.gz	19619	19619	19201	19201	668	668	130	130	130
e02817-1-MiFish	e02817-1-MiFish	1	e02817-1-MiFish_S91_L001_R1_001.fastq.gz	e02817-1-MiFish_S91_L001_R2_001.fastq.gz	81824	81824	80491	80491	74917	74917	73992	73992	73647
e02817-2-MiFish	e02817-2-MiFish	1	e02817-2-MiFish_S128_L001_R1_001.fastq.gz	e02817-2-MiFish_S128_L001_R2_001.fastq.gz	62885	62885	61871	61871	57700	57700	56843	56843	56589
e02818-1-MiFish	e02818-1-MiFish	1	e02818-1-MiFish_S92_L001_R1_001.fastq.gz	e02818-1-MiFish_S92_L001_R2_001.fastq.gz	22800	22800	22370	22370	6989	6989	5825	5825	5825
e02818-2-MiFish	e02818-2-MiFish	1	e02818-2-MiFish_S129_L001_R1_001.fastq.gz	e02818-2-MiFish_S129_L001_R2_001.fastq.gz	27200	27200	26744	26744	11588	11588	9741	9741	9722
e02819-1-MiFish	e02819-1-MiFish	1	e02819-1-MiFish_S93_L001_R1_001.fastq.gz	e02819-1-MiFish_S93_L001_R2_001.fastq.gz	49928	49928	49013	49013	20644	20644	18159	18159	17646
e02819-2-MiFish	e02819-2-MiFish	1	e02819-2-MiFish_S130_L001_R1_001.fastq.gz	e02819-2-MiFish_S130_L001_R2_001.fastq.gz	42763	42763	42055	42055	19395	19395	18127	18127	17152
e02820-1-MiFish	e02820-1-MiFish	1	e02820-1-MiFish_S94_L001_R1_001.fastq.gz	e02820-1-MiFish_S94_L001_R2_001.fastq.gz	38801	38801	38117	38117	20769	20769	17862	17862	17437
e02820-2-MiFish	e02820-2-MiFish	1	e02820-2-MiFish_S131_L001_R1_001.fastq.gz	e02820-2-MiFish_S131_L001_R2_001.fastq.gz	34896	34896	34282	34282	17679	17679	15519	15519	15373
e02821-1-MiFish	e02821-1-MiFish	1	e02821-1-MiFish_S95_L001_R1_001.fastq.gz	e02821-1-MiFish_S95_L001_R2_001.fastq.gz	55030	55030	54155	54155	28712	28712	26409	26409	25081
e02821-2-MiFish	e02821-2-MiFish	1	e02821-2-MiFish_S132_L001_R1_001.fastq.gz	e02821-2-MiFish_S132_L001_R2_001.fastq.gz	36773	36773	36134	36134	12515	12515	11021	11021	10836
e02822-1-MiFish	e02822-1-MiFish	1	e02822-1-MiFish_S96_L001_R1_001.fastq.gz	e02822-1-MiFish_S96_L001_R2_001.fastq.gz	16176	16176	15899	15899	2974	2974	2591	2591	2591
