sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
44873	44873	1	44873_S538_L001_R1_001.fastq.gz	44873_S538_L001_R2_001.fastq.gz	2879	2879	2807	2807	2762	2762	2758	2758	0
44874	44874	1	44874_S539_L001_R1_001.fastq.gz	44874_S539_L001_R2_001.fastq.gz	2629	2629	2557	2557	2546	2546	2540	2540	0
44875	44875	1	44875_S540_L001_R1_001.fastq.gz	44875_S540_L001_R2_001.fastq.gz	2705	2705	2632	2632	2599	2599	2589	2589	0
44876	44876	1	44876_S541_L001_R1_001.fastq.gz	44876_S541_L001_R2_001.fastq.gz	3118	3118	3056	3056	3050	3050	3037	3033	0
44877	44877	1	44877_S542_L001_R1_001.fastq.gz	44877_S542_L001_R2_001.fastq.gz	2826	2826	2753	2753	2743	2743	2738	2738	0
44878	44878	1	44878_S543_L001_R1_001.fastq.gz	44878_S543_L001_R2_001.fastq.gz	2518	2518	2435	2435	2063	2063	2057	2057	0
44879	44879	1	44879_S544_L001_R1_001.fastq.gz	44879_S544_L001_R2_001.fastq.gz	3304	3304	3228	3228	3173	3173	3122	3046	0
44880	44880	1	44880_S545_L001_R1_001.fastq.gz	44880_S545_L001_R2_001.fastq.gz	2495	2495	2318	2318	2312	2312	2310	2310	0
44881	44881	1	44881_S546_L001_R1_001.fastq.gz	44881_S546_L001_R2_001.fastq.gz	3162	3162	3092	3092	2947	2947	2930	2930	0
44882	44882	1	44882_S547_L001_R1_001.fastq.gz	44882_S547_L001_R2_001.fastq.gz	3024	3024	2937	2937	2918	2918	2911	2908	0
44883	44883	1	44883_S548_L001_R1_001.fastq.gz	44883_S548_L001_R2_001.fastq.gz	3668	3668	3594	3594	3585	3585	3578	3576	0
44884	44884	1	44884_S549_L001_R1_001.fastq.gz	44884_S549_L001_R2_001.fastq.gz	3334	3334	3252	3252	3237	3237	3225	3225	0
44885	44885	1	44885_S550_L001_R1_001.fastq.gz	44885_S550_L001_R2_001.fastq.gz	3678	3678	3601	3601	3578	3578	3565	3565	0
44886	44886	1	44886_S551_L001_R1_001.fastq.gz	44886_S551_L001_R2_001.fastq.gz	3303	3303	3230	3230	3218	3218	3217	3217	0
44887	44887	1	44887_S552_L001_R1_001.fastq.gz	44887_S552_L001_R2_001.fastq.gz	2780	2780	2675	2675	2669	2669	2663	2663	0
44888	44888	1	44888_S553_L001_R1_001.fastq.gz	44888_S553_L001_R2_001.fastq.gz	1699	1699	1648	1648	919	919	912	909	0
44889	44889	1	44889_S554_L001_R1_001.fastq.gz	44889_S554_L001_R2_001.fastq.gz	3158	3158	3089	3089	1988	1988	1971	1966	0
44890	44890	1	44890_S555_L001_R1_001.fastq.gz	44890_S555_L001_R2_001.fastq.gz	3331	3331	3249	3249	2939	2939	2924	2924	0
44891	44891	1	44891_S556_L001_R1_001.fastq.gz	44891_S556_L001_R2_001.fastq.gz	2677	2677	2618	2618	2609	2609	2607	2607	0
44892	44892	1	44892_S557_L001_R1_001.fastq.gz	44892_S557_L001_R2_001.fastq.gz	2551	2551	2504	2504	2490	2490	2487	2487	0
44893	44893	1	44893_S558_L001_R1_001.fastq.gz	44893_S558_L001_R2_001.fastq.gz	2624	2624	2571	2571	2555	2555	2546	2546	0
44894	44894	1	44894_S559_L001_R1_001.fastq.gz	44894_S559_L001_R2_001.fastq.gz	1995	1995	1944	1944	1939	1939	1938	1938	0
44895	44895	1	44895_S560_L001_R1_001.fastq.gz	44895_S560_L001_R2_001.fastq.gz	3716	3716	3634	3634	3622	3622	3620	3620	0
44897	44897	1	44897_S561_L001_R1_001.fastq.gz	44897_S561_L001_R2_001.fastq.gz	2714	2714	2660	2660	2196	2196	2178	2178	0
44898	44898	1	44898_S562_L001_R1_001.fastq.gz	44898_S562_L001_R2_001.fastq.gz	2747	2747	2699	2699	2630	2630	2619	2619	0
44899	44899	1	44899_S563_L001_R1_001.fastq.gz	44899_S563_L001_R2_001.fastq.gz	2285	2285	2215	2215	2206	2206	2200	2200	0
44900	44900	1	44900_S564_L001_R1_001.fastq.gz	44900_S564_L001_R2_001.fastq.gz	2262	2262	2212	2212	2201	2201	2173	2173	0
44901	44901	1	44901_S565_L001_R1_001.fastq.gz	44901_S565_L001_R2_001.fastq.gz	2147	2147	2097	2097	2093	2093	2067	2043	0
44902	44902	1	44902_S566_L001_R1_001.fastq.gz	44902_S566_L001_R2_001.fastq.gz	2309	2309	2263	2263	2258	2258	2238	2230	0
