"","qseqid","family","genus","species"
"1","ASV_26","Gadidae","Gadus","Gadus macrocephalus"
"2","ASV_21","Gadidae","Gadus","Gadus macrocephalus"
"3","ASV_25","Gadidae","Gadus","Gadus macrocephalus"
"4","ASV_30","Gadidae","Gadus","Gadus macrocephalus"
"5","ASV_31","Gadidae","Eleginus","Eleginus gracilis"
"6","ASV_13","Gadidae","Gadus","Gadus chalcogrammus"
"7","ASV_10","Gadidae","Gadus","Gadus chalcogrammus"
"8","ASV_12","Gadidae","Gadus","Gadus chalcogrammus"
"9","ASV_17","Gadidae","Gadus","Gadus chalcogrammus"
"10","ASV_19","Gadidae","Gadus","Gadus chalcogrammus"
"11","ASV_02","Gadidae","Gadus","Gadus chalcogrammus"
"12","ASV_08","Gadidae","Gadus","Gadus chalcogrammus"
"13","ASV_14","Gadidae","Gadus","Gadus chalcogrammus"
"14","ASV_07","Gadidae","Gadus","Gadus macrocephalus"
"15","ASV_16","Gadidae","Gadus","Gadus macrocephalus"
"16","ASV_01","Gadidae","Gadus","Gadus macrocephalus"
"17","ASV_11","Gadidae","Gadus","Gadus macrocephalus"
"18","ASV_18","Gadidae","Gadus","Gadus macrocephalus"
"19","ASV_06","Gadidae","Gadus","Gadus macrocephalus"
"20","ASV_03","Gadidae","Gadus","Gadus macrocephalus"
"21","ASV_20","Gadidae","Gadus","Gadus macrocephalus"
"22","ASV_09","Gadidae","Gadus","Gadus macrocephalus"
"23","ASV_05","Gadidae","Gadus","Gadus macrocephalus"
"24","ASV_29","Gadidae","Gadus","Gadus macrocephalus"
"25","ASV_15","Gadidae","Eleginus","Eleginus gracilis"
"26","ASV_04","Gadidae","Eleginus","Eleginus gracilis"
