"","sample_ID","family","genus","species","tot_reads","reads_per_sample","proportion"
"1","44873","Gadidae","Gadus","Gadus macrocephalus",2731,2750,0.993090909090909
"2","44874","Gadidae","Gadus","Gadus chalcogrammus",2531,2536,0.998028391167192
"3","44875","Gadidae","Gadus","Gadus chalcogrammus",2572,2584,0.995356037151703
"4","44876","Gadidae","Gadus","Gadus macrocephalus",2999,3020,0.993046357615894
"5","44877","Gadidae","Gadus","Gadus macrocephalus",2708,2723,0.994491369812707
"6","44878","Gadidae","Gadus","Gadus chalcogrammus",2051,2056,0.997568093385214
"7","44879","Gadidae","Gadus","Gadus macrocephalus",2951,3024,0.975859788359788
"8","44880","Gadidae","Gadus","Gadus chalcogrammus",2299,2310,0.995238095238095
"9","44881","Gadidae","Gadus","Gadus macrocephalus",2899,2919,0.99314833847208
"10","44882","Gadidae","Gadus","Gadus macrocephalus",2892,2903,0.996210816396831
"11","44883","Gadidae","Gadus","Gadus macrocephalus",3555,3565,0.997194950911641
"12","44884","Gadidae","Gadus","Gadus macrocephalus",3203,3219,0.995029512270892
"13","44885","Gadidae","Eleginus","Eleginus gracilis",3539,3565,0.992706872370266
"14","44886","Gadidae","Gadus","Gadus macrocephalus",3202,3211,0.997197134848957
"15","44887","Gadidae","Gadus","Gadus macrocephalus",2648,2658,0.996237772761475
"16","44888","Gadidae","Gadus","Gadus chalcogrammus",878,907,0.968026460859978
"17","44889","Gadidae","Gadus","Gadus macrocephalus",1942,1964,0.988798370672098
"18","44890","Gadidae","Gadus","Gadus macrocephalus",2884,2910,0.99106529209622
"19","44891","Gadidae","Gadus","Gadus macrocephalus",2604,2607,0.998849252013809
"20","44892","Gadidae","Gadus","Gadus macrocephalus",2486,2486,1
"21","44893","Gadidae","Gadus","Gadus macrocephalus",2526,2539,0.994879873966128
"22","44894","Gadidae","Gadus","Gadus macrocephalus",1927,1937,0.994837377387713
"23","44895","Gadidae","Gadus","Gadus macrocephalus",3616,3617,0.999723527785458
"24","44897","Gadidae","Gadus","Gadus macrocephalus",2156,2174,0.991720331186753
"25","44898","Gadidae","Gadus","Gadus chalcogrammus",2591,2612,0.991960183767228
"26","44899","Gadidae","Gadus","Gadus chalcogrammus",2200,2200,1
"27","44900","Gadidae","Gadus","Gadus chalcogrammus",2058,2139,0.962131837307153
"28","44901","Gadidae","Gadus","Gadus chalcogrammus",1904,2004,0.950099800399202
"29","44902","Gadidae","Gadus","Gadus macrocephalus",2158,2203,0.979573309123922
"30","44903","Gadidae","Gadus","Gadus chalcogrammus",2047,2101,0.974297953355545
"31","44904","Gadidae","Gadus","Gadus chalcogrammus",2255,2256,0.999556737588652
"32","44905","Gadidae","Gadus","Gadus macrocephalus",2440,2453,0.994700366897676
"33","44906","Gadidae","Gadus","Gadus macrocephalus",2879,2889,0.996538594669436
"34","44907","Gadidae","Gadus","Gadus macrocephalus",2046,2067,0.989840348330914
"35","44908","Gadidae","Gadus","Gadus macrocephalus",2560,2630,0.973384030418251
"36","44909","Gadidae","Gadus","Gadus chalcogrammus",1958,1962,0.99796126401631
"37","44910","Gadidae","Gadus","Gadus chalcogrammus",2787,2807,0.992874955468472
"38","44911","Gadidae","Gadus","Gadus chalcogrammus",2648,2649,0.999622499056248
"39","44912","Gadidae","Gadus","Gadus macrocephalus",2290,2355,0.9723991507431
"40","44913","Gadidae","Gadus","Gadus macrocephalus",2200,2234,0.984780662488809
"41","44914","Gadidae","Eleginus","Eleginus gracilis",3663,3728,0.982564377682403
"42","44916","Gadidae","Eleginus","Eleginus gracilis",3015,3023,0.997353622229573
"43","44917","Gadidae","Eleginus","Eleginus gracilis",3060,3094,0.989010989010989
"44","44918","Gadidae","Gadus","Gadus macrocephalus",2507,2542,0.986231313926042
"45","44919","Gadidae","Gadus","Gadus chalcogrammus",395,396,0.997474747474748
"46","44920","Gadidae","Gadus","Gadus chalcogrammus",1765,1822,0.968715697036224
"47","44922","Gadidae","Eleginus","Eleginus gracilis",2845,2921,0.973981513180418
"48","44923","Gadidae","Gadus","Gadus macrocephalus",2302,2466,0.933495539334955
