sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_merged	reads_tabled	reads_chimera_checked
e02836	e02836	1	e02836_S149_L001_R1_001.fastq.gz	e02836_S149_L001_R2_001.fastq.gz	49276	49276	48460	48460	26476	26476	25673	25673	24369
e02837	e02837	1	e02837_S150_L001_R1_001.fastq.gz	e02837_S150_L001_R2_001.fastq.gz	55438	55438	54154	54154	50945	50945	48891	48891	46546
e02838	e02838	1	e02838_S151_L001_R1_001.fastq.gz	e02838_S151_L001_R2_001.fastq.gz	36553	36553	35859	35859	2043	2043	1530	1530	1530
e02839	e02839	1	e02839_S152_L001_R1_001.fastq.gz	e02839_S152_L001_R2_001.fastq.gz	50692	50692	49935	49935	19096	19096	18581	18581	18566
e02840	e02840	1	e02840_S153_L001_R1_001.fastq.gz	e02840_S153_L001_R2_001.fastq.gz	46629	46629	45863	45863	19251	19251	18760	18760	18493
e02841	e02841	1	e02841_S154_L001_R1_001.fastq.gz	e02841_S154_L001_R2_001.fastq.gz	47056	47056	46391	46391	3678	3678	3112	3112	3108
e02842	e02842	1	e02842_S155_L001_R1_001.fastq.gz	e02842_S155_L001_R2_001.fastq.gz	44007	44007	43296	43296	39363	39363	38992	38992	38963
e02843	e02843	1	e02843_S156_L001_R1_001.fastq.gz	e02843_S156_L001_R2_001.fastq.gz	46834	46834	42822	42822	12820	12820	11821	11821	11821
e02844	e02844	1	e02844_S157_L001_R1_001.fastq.gz	e02844_S157_L001_R2_001.fastq.gz	68768	68768	67596	67596	63607	63607	61593	61593	58476
e02845	e02845	1	e02845_S158_L001_R1_001.fastq.gz	e02845_S158_L001_R2_001.fastq.gz	69751	69751	68459	68459	30811	30811	29807	29807	29768
e02846	e02846	1	e02846_S159_L001_R1_001.fastq.gz	e02846_S159_L001_R2_001.fastq.gz	71001	71001	69096	69096	23187	23187	21702	21702	21563
e02847	e02847	1	e02847_S160_L001_R1_001.fastq.gz	e02847_S160_L001_R2_001.fastq.gz	86818	86818	85270	85270	53388	53388	51895	51895	48942
e02848	e02848	1	e02848_S161_L001_R1_001.fastq.gz	e02848_S161_L001_R2_001.fastq.gz	86627	86627	85093	85093	5601	5601	4349	4349	4349
